epoch,MaxAE,loss,mae,mse,val_MaxAE,val_loss,val_mae,val_mse
0,7.522982597351074,1.4690446853637695,1.4690446853637695,3.342674493789673,3.1378324031829834,1.1640938520431519,1.1640938520431519,1.948676586151123
1,7.108471393585205,1.383562684059143,1.383562684059143,3.0145747661590576,3.05288028717041,1.1113659143447876,1.1113659143447876,1.8089494705200195
2,6.715561866760254,1.3019429445266724,1.3019429445266724,2.7164838314056396,2.9696712493896484,1.0608594417572021,1.0608594417572021,1.6793725490570068
3,6.368557929992676,1.2239776849746704,1.2239776849746704,2.4460289478302,2.8885762691497803,1.011879801750183,1.011879801750183,1.5576778650283813
4,6.104621410369873,1.149706244468689,1.149706244468689,2.2016496658325195,2.8099594116210938,0.9645087718963623,0.9645087718963623,1.4436570405960083
5,5.878085613250732,1.0791935920715332,1.0791935920715332,1.9808701276779175,2.735043525695801,0.9186936020851135,0.9186936020851135,1.33707594871521
6,5.600074291229248,1.0123107433319092,1.0123107433319092,1.7823617458343506,2.6612653732299805,0.8743744492530823,0.8743744492530823,1.2367054224014282
7,5.340991973876953,0.9487590193748474,0.9487590193748474,1.6059234142303467,2.590378522872925,0.831809401512146,0.831809401512146,1.1430611610412598
8,5.054059028625488,0.8885327577590942,0.8885327577590942,1.4504135847091675,2.5226950645446777,0.7906767129898071,0.7906767129898071,1.0554051399230957
9,4.852145671844482,0.8320028781890869,0.8320028781890869,1.3140887022018433,2.458580255508423,0.7508954405784607,0.7508954405784607,0.9739100933074951
10,4.632096767425537,0.7788239121437073,0.7788239121437073,1.1938000917434692,2.3982701301574707,0.712354302406311,0.712354302406311,0.8982387781143188
11,4.395942687988281,0.7288745641708374,0.7288745641708374,1.0866434574127197,2.338663339614868,0.6751996278762817,0.6751996278762817,0.8275405764579773
12,4.170018196105957,0.6826546788215637,0.6826546788215637,0.9902368783950806,2.279986619949341,0.6387640833854675,0.6387640833854675,0.761332631111145
13,4.006232261657715,0.640065610408783,0.640065610408783,0.9022745490074158,2.222747564315796,0.6039766073226929,0.6039766073226929,0.6999232172966003
14,3.751527786254883,0.60064297914505,0.60064297914505,0.8215585947036743,2.1676652431488037,0.571426510810852,0.571426510810852,0.6432346105575562
15,3.6211464405059814,0.563581645488739,0.563581645488739,0.7471704483032227,2.1105260848999023,0.5403856635093689,0.5403856635093689,0.5897639989852905
16,3.436849355697632,0.5284514427185059,0.5284514427185059,0.6784646511077881,2.051213264465332,0.5118695497512817,0.5118696093559265,0.53975909948349
17,3.258737087249756,0.49520230293273926,0.4952022433280945,0.6149209141731262,1.9905701875686646,0.48713698983192444,0.48713698983192444,0.4932669401168823
18,3.105813503265381,0.46387210488319397,0.46387210488319397,0.5560795664787292,1.9307312965393066,0.4634297490119934,0.4634297490119934,0.44949111342430115
19,2.9747302532196045,0.43433502316474915,0.43433502316474915,0.501782238483429,1.8717317581176758,0.44010066986083984,0.44010066986083984,0.4087256193161011
20,2.809469699859619,0.40606892108917236,0.40606892108917236,0.45126578211784363,1.8125931024551392,0.41744929552078247,0.41744929552078247,0.37064486742019653
21,2.6816771030426025,0.3786707818508148,0.3786707818508148,0.40398991107940674,1.7526503801345825,0.39513614773750305,0.39513614773750305,0.3349408507347107
22,2.554252862930298,0.3520767092704773,0.3520767092704773,0.3600670099258423,1.6912733316421509,0.37217119336128235,0.37217119336128235,0.30061835050582886
23,2.4292638301849365,0.3263486325740814,0.3263486325740814,0.31921905279159546,1.6287727355957031,0.3499147891998291,0.3499147891998291,0.26863422989845276
24,2.3079726696014404,0.30180245637893677,0.30180245637893677,0.2816290855407715,1.5662909746170044,0.33067798614501953,0.33067798614501953,0.2403717339038849
25,2.1859726905822754,0.27840456366539,0.27840456366539,0.24740535020828247,1.5047470331192017,0.3133830428123474,0.3133830726146698,0.2150879055261612
26,2.0721075534820557,0.25581470131874084,0.25581470131874084,0.21637998521327972,1.4448543787002563,0.29724711179733276,0.29724711179733276,0.19219546020030975
27,1.9622327089309692,0.2340652495622635,0.2340652495622635,0.18844647705554962,1.3836854696273804,0.2805728018283844,0.2805728018283844,0.17036975920200348
28,1.857183575630188,0.21325542032718658,0.21325542032718658,0.16368556022644043,1.3225396871566772,0.2653246223926544,0.2653246223926544,0.1509244590997696
29,1.7479523420333862,0.19348709285259247,0.19348709285259247,0.1417093127965927,1.2611511945724487,0.2515580356121063,0.25155800580978394,0.13407984375953674
30,1.660218596458435,0.1750827431678772,0.1750827431678772,0.1225815862417221,1.200156807899475,0.24012571573257446,0.24012571573257446,0.11987340450286865
31,1.562910795211792,0.15841004252433777,0.15841004252433777,0.10601821541786194,1.1465048789978027,0.23263931274414062,0.23263931274414062,0.10925641655921936
32,1.4828296899795532,0.1434716284275055,0.1434716284275055,0.09181109815835953,1.0913280248641968,0.22608710825443268,0.22608710825443268,0.10033243894577026
33,1.4100407361984253,0.1301690638065338,0.1301690638065338,0.07952602952718735,1.0409787893295288,0.22318623960018158,0.22318623960018158,0.09460131824016571
34,1.339491605758667,0.11860060691833496,0.11860060691833496,0.06883348524570465,0.9894652366638184,0.2204398810863495,0.2204398810863495,0.08980578184127808
